ï»¿"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"YESBANK","EQ","25-Feb-2025","17.86","17.80","18.10","17.75","17.78","17.79","17.93","4,90,82,878","88,00,09,968.34","65,831","1,75,82,293","35.82"
"YESBANK","EQ","27-Feb-2025","17.79","17.79","17.93","17.21","17.21","17.36","17.57","6,31,36,819","1,10,92,42,929.15","75,853","2,88,39,726","45.68"
"YESBANK","EQ","28-Feb-2025","17.36","17.23","17.26","16.66","16.79","16.75","16.86","13,33,81,737","2,24,90,56,187.22","1,19,768","7,60,71,065","57.03"
"YESBANK","EQ","03-Mar-2025","16.75","16.75","16.99","16.13","16.34","16.31","16.39","10,66,03,357","1,74,70,79,036.78","1,18,482","4,22,89,166","39.67"
"YESBANK","EQ","04-Mar-2025","16.31","16.24","16.78","16.16","16.36","16.34","16.40","14,33,65,309","2,35,06,34,239.04","1,13,778","6,94,94,955","48.47"
"YESBANK","EQ","05-Mar-2025","16.34","16.39","16.98","16.38","16.98","16.92","16.80","8,85,90,804","1,48,87,27,257.27","86,038","3,94,32,377","44.51"
"YESBANK","EQ","06-Mar-2025","16.92","17.19","17.25","16.93","16.98","16.98","17.04","7,22,03,818","1,23,00,26,480.59","78,170","3,02,92,952","41.95"
"YESBANK","EQ","07-Mar-2025","16.98","16.96","17.07","16.84","16.91","16.88","16.95","6,14,51,832","1,04,16,34,166.70","73,440","2,55,42,598","41.57"
"YESBANK","EQ","10-Mar-2025","16.88","16.88","17.02","16.48","16.50","16.52","16.74","6,86,21,458","1,14,84,20,400.45","82,760","3,21,32,064","46.83"
"YESBANK","EQ","11-Mar-2025","16.52","16.39","16.54","16.11","16.44","16.37","16.33","8,54,57,453","1,39,57,17,944.72","71,504","3,14,85,945","36.84"
"YESBANK","EQ","12-Mar-2025","16.37","16.40","16.50","16.02","16.20","16.15","16.21","7,93,12,744","1,28,57,68,372.63","81,949","3,70,03,480","46.66"
"YESBANK","EQ","13-Mar-2025","16.15","16.20","16.37","16.16","16.20","16.19","16.27","6,24,77,298","1,01,66,55,339.50","66,002","2,55,10,613","40.83"
"YESBANK","EQ","17-Mar-2025","16.19","16.30","16.38","16.09","16.11","16.11","16.17","7,17,36,032","1,16,02,17,436.35","83,802","3,38,26,180","47.15"
"YESBANK","EQ","18-Mar-2025","16.11","16.18","16.50","16.16","16.49","16.44","16.32","8,23,82,844","1,34,48,57,150.59","73,627","5,08,95,451","61.78"
"YESBANK","EQ","19-Mar-2025","16.44","16.52","17.10","16.52","17.02","17.03","16.90","9,97,66,469","1,68,65,38,543.50","91,111","4,51,07,290","45.21"
"YESBANK","EQ","20-Mar-2025","17.03","17.26","17.32","16.91","16.93","16.94","17.04","8,07,80,475","1,37,64,58,314.67","83,013","3,60,53,404","44.63"
"YESBANK","EQ","21-Mar-2025","16.94","16.97","17.22","16.90","17.20","17.17","17.10","10,10,17,458","1,72,69,68,287.53","85,929","5,51,99,508","54.64"
"YESBANK","EQ","24-Mar-2025","17.17","17.36","17.53","17.24","17.42","17.43","17.42","8,24,60,279","1,43,63,40,025.54","80,715","4,38,87,100","53.22"
"YESBANK","EQ","25-Mar-2025","17.43","17.46","17.53","17.00","17.01","17.03","17.18","10,18,20,390","1,74,88,02,144.80","81,270","4,96,00,699","48.71"
